"Region";"X2021";"X2020";"X2019";"X2018";"X2017";"X2016";"X2015";"X2014";"X2013";"X2012";"X2011";"X2010";"X2009";"X2008";"X2007";"X2006";"X2005";"X2004";"X2003";"X2002"
"Beijing";"14.23";"13.07";"11.45";"11.25";"12.5";"11.74";"10.65";"8.55";"8.58";"8.6";"8.82";"9.42";"10.1";"10.29";"10.2";"11.23";"10.81";"11.12";"11.2";"10.78"
"Tianjin";"15.92";"14.18";"12.08";"10.92";"11.29";"11.36";"10.29";"11.68";"11.46";"10.46";"9.77";"10.38";"11.04";"12.28";"10.85";"10.55";"9.69";"10.79";"10.93";"10.74"
"Hebei";"14.92";"14.16";"13.15";"12.69";"11.8";"10.91";"10.17";"9.32";"9.17";"9.09";"8.17";"8.51";"8.86";"8.74";"8.86";"8.49";"8.17";"7.99";"7.56";"7.63"
"Shanxi";"13.68";"12.5";"11";"10.32";"8.99";"8.7";"9.19";"8.52";"7.97";"7.97";"7.77";"7.93";"8.09";"7.88";"7.3";"6.98";"7.71";"7.05";"7.1";"6.95"
"Inner Mongolia";"13.84";"12.25";"10.2";"9.85";"10.84";"9.44";"9.56";"9.33";"8.55";"7.87";"6.89";"7.68";"8.46";"8.11";"8.17";"7.79";"7.93";"7.47";"7.64";"7.14"
"Liaoning";"18.8";"17.57";"15.92";"14.98";"14.08";"13.22";"12.87";"12.16";"10.22";"9.94";"10.77";"11.14";"11.5";"11.33";"10.63";"10.59";"9.77";"9.46";"9.7";"8.1"
"Jilin";"16.71";"15.16";"13.29";"12.37";"12.2";"10.85";"10.91";"10.17";"9.66";"7.74";"8.7";"8.8";"8.89";"9.13";"8.81";"8.26";"7.67";"7.46";"7.05";"6.69"
"Heilongjiang";"16.78";"15.37";"13.78";"12.21";"12.14";"11.94";"10.84";"9.39";"8.94";"8.84";"7.99";"8.34";"8.66";"9.12";"8.94";"8.07";"7.6";"6.8";"6.65";"6.36"
"Shanghai";"17.45";"16.96";"16.26";"14.95";"14.26";"12.96";"12.82";"9.68";"10.64";"9.01";"7.87";"10.71";"14.08";"13.04";"14.25";"14.41";"11.96";"15.4";"16.38";"13.44"
"Jiangsu";"17.04";"16.24";"15.08";"14.3";"13.93";"13.5";"12.69";"12.06";"12.25";"11.5";"10.82";"11.43";"12.03";"11.74";"11.15";"11.06";"10.87";"10.72";"11.34";"9.89"
